,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Osbpl11,0.0420465165377714,-0.243514689162168,0.043,0.105,1
Eno2,0.0420550740112488,4.4679854104435,0.095,0.026,1
Katna1,0.0420550740112488,0.364787324577059,0.066,0.145,1
Srebf1,0.0420872295123603,0.26816720825867,0.049,0.118,1
Rpia,0.0420968962833054,0.52702311085051,0.089,0.184,1
2810402E24Rik,0.0421014017117477,-0.259582887098038,0.059,0.132,1
Trp53inp2,0.0421977554904313,0.477803603582966,0.145,0.276,1
Dpf2,0.0422096639598294,0.363186328336315,0.155,0.289,1
Rps18-ps3,0.0422746489469357,0.269191287835366,0.217,0.382,1
Eml1,0.0423452722721472,-0.337977782174486,0.043,0.105,1
Bad,0.0423605834407092,0.249570072595208,0.309,0.539,1
Kbtbd7,0.0423679956049293,4.54167555814382,0.076,0.013,1
Gata3,0.0423699184523331,-4.06319129729879,0.003,0.026,1
Shroom3,0.0423699184523331,-3.9088034244766,0.003,0.026,1
Gm9885,0.0423699184523331,-3.38624333636758,0.003,0.026,1
Tnc,0.0423699184523331,-3.37377200777049,0.003,0.026,1
Pde6a,0.0423699184523331,-3.35217156267744,0.003,0.026,1
Sept8,0.0424590966957242,0.212163470267348,0.141,0.263,1
Gba,0.0426458217155153,-0.215426947253589,0.043,0.105,1
Naa15,0.0426552946136102,0.418258421223996,0.168,0.316,1
Gm26825,0.0426971120320329,0.405075353023229,0.355,0.645,1
Ubl3,0.0427401885347218,1.16615074144555,0.497,0.566,1
2310011J03Rik,0.0428141201747871,0.407522441244351,0.257,0.461,1
Psmc2,0.0428807046859274,0.522701134821447,0.171,0.316,1
Tead3,0.043150363119429,-3.94309631291449,0.003,0.026,1
Gen1,0.043150363119429,-3.67493686333238,0.003,0.026,1
Kcne1l,0.043150363119429,-3.52938015853519,0.003,0.026,1
Cdca2,0.043150363119429,-3.45105752446627,0.003,0.026,1
Sgol1,0.043150363119429,-3.44921693481914,0.003,0.026,1
Slc46a2,0.043150363119429,-3.3446884533647,0.003,0.026,1
Spaca1,0.043150363119429,-3.34053143063362,0.003,0.026,1
Gm4419,0.043150363119429,-3.30754838827968,0.003,0.026,1
Hyal3,0.043150363119429,-3.27234349163087,0.003,0.026,1
Gm16861,0.043150363119429,-3.19873959252381,0.003,0.026,1
Otud3,0.043150363119429,-3.182222065034,0.003,0.026,1
Wdr86,0.043150363119429,-3.17832904496054,0.003,0.026,1
4632411P08Rik,0.043150363119429,-3.17453075160307,0.003,0.026,1
Celrr,0.043150363119429,-2.98779650189664,0.003,0.026,1
Chadl,0.043150363119429,-2.96231377971102,0.003,0.026,1
Stk32b,0.043150363119429,-2.92570995814421,0.003,0.026,1
Dapp1,0.043150363119429,-2.88132472414622,0.003,0.026,1
Mis18bp1,0.043150363119429,-2.86947018333231,0.003,0.026,1
Slc29a2,0.043150363119429,-2.8203138777375,0.003,0.026,1
Gm43403,0.043150363119429,-2.76084250515803,0.003,0.026,1
Panx1,0.043150363119429,-2.70909154583593,0.003,0.026,1
Rfx2,0.043150363119429,-2.57891585705868,0.003,0.026,1
Mcm8,0.043150363119429,-2.56359824458831,0.003,0.026,1
Proser3,0.043150363119429,-2.55178250575579,0.003,0.026,1
Neb,0.043150363119429,-2.47995640721305,0.003,0.026,1
Armc2,0.043150363119429,-2.3895272816894,0.003,0.026,1
4833445I07Rik,0.043150363119429,-2.35622570893885,0.003,0.026,1
