,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Serpine2,2.03836053516367e-05,-0.72011619756391,0.269,0.549,0.396338822457224
Vcp,2.04989243281936e-05,-0.777534560346194,0.146,0.391,0.398581084637397
Sox18,2.12236037869345e-05,-1.59480305854263,0.077,0.27,0.412671752033154
Ostf1,2.14838847930995e-05,-0.767178717673332,0.285,0.576,0.417732655917027
Psma3,2.14926198993805e-05,-0.617850591119901,0.285,0.586,0.417902501323554
Chmp2b,2.18216653120448e-05,-0.878215258337095,0.108,0.332,0.4243004603274
Mapk6,2.25101068865846e-05,-1.72520900066725,0.046,0.217,0.437686518302751
Gabarapl2,2.26901403797696e-05,-0.712607978486993,0.369,0.674,0.441187089544241
Bst2,2.29364582433867e-05,-1.07862966357224,0.108,0.326,0.445976494084411
Txndc9,2.31978845103393e-05,-0.992917459031083,0.108,0.329,0.451059666419037
Timm10b,2.33816488028142e-05,-0.775508402677473,0.223,0.497,0.454632779321919
Cacybp,2.37417546582886e-05,-1.02477574777424,0.115,0.332,0.461634677575764
Sep15,2.4252482459431e-05,-0.656038452997631,0.392,0.684,0.471565268941177
Coro1b,2.48256749202042e-05,-1.30457513920443,0.062,0.247,0.48271042314845
Anxa5,2.52047916369774e-05,-0.674930353688047,0.231,0.51,0.490081968589388
Hypk,2.59810620261262e-05,-0.871443761176576,0.162,0.405,0.505175770035998
Slc6a6,2.78033497868322e-05,0.737437759552058,0.777,0.724,0.540608333255165
Hspa12b,2.80030292319731e-05,-1.05350849700631,0.085,0.283,0.544490900386484
Dctn2,2.90093525949219e-05,-1.16368276022846,0.085,0.283,0.564057851855661
Ndufs4,2.93175840251216e-05,-1.05743289432164,0.108,0.319,0.570051103784464
Nomo1,2.98540948007711e-05,-0.815922567016529,0.115,0.336,0.580483019306193
Rps14,3.05296706294949e-05,-0.27329800259546,0.977,1,0.593618915719899
Sri,3.15807738015432e-05,-0.509288579672706,0.4,0.724,0.614056565797205
Tuba1b,3.18425138544614e-05,-0.678321528077593,0.315,0.602,0.619145839386147
Faim,3.27301758151009e-05,-0.594806471694672,0.162,0.411,0.636405538548821
Dusp6,3.30406332954037e-05,-1.06257178943896,0.138,0.362,0.64244207379583
Kif5b,3.41999538981677e-05,-0.534210185421255,0.5,0.753,0.664983903595974
Nid2,3.4777535842973e-05,-2.8136819952957,0.015,0.155,0.676214406930767
Xdh,3.49886505618732e-05,3.27374287993996,0.146,0.039,0.680319321525062
Rpl9,3.59130101576075e-05,0.400129288605335,0.969,0.987,0.69829256950452
Arfrp1,3.59385939655574e-05,-1.89045060483407,0.023,0.171,0.698790021066299
Adm,3.60308658047469e-05,-3.9610728321855,0.015,0.151,0.700584154707499
Eny2,3.6474607404201e-05,-0.866805472377838,0.138,0.368,0.709212266367285
Pdcd10,3.67762067514257e-05,-0.618989624718309,0.3,0.592,0.715076564074722
Jup,3.72644259887645e-05,-0.824756261283975,0.162,0.405,0.724569498925537
Prdx2,3.72785837453229e-05,-0.69221062793912,0.308,0.602,0.724844782344059
Tsg101,3.81155688124962e-05,-1.23999442986678,0.085,0.276,0.741119119990177
Eif4e2,3.83637145768773e-05,-1.47446098660792,0.054,0.227,0.745944066232802
Fam13a,3.88806196980652e-05,-2.32655693978863,0.031,0.181,0.75599476940918
Taf13,3.90498639964634e-05,-1.29907077546326,0.069,0.253,0.759285555547234
Plp1,3.95408133669134e-05,1.40579359326319,0.077,0.27,0.768831575106264
2410015M20Rik,4.00858662511231e-05,-0.808905486879971,0.262,0.53,0.779429583386838
Mrps12,4.01166625985709e-05,-0.873051455512698,0.092,0.299,0.780028387566613
Myh10,4.0181761509181e-05,-1.41023812022319,0.077,0.263,0.781294170784515
Hspb1,4.01844586829048e-05,-0.611051017171933,0.315,0.589,0.781346614630401
Sdhd,4.07048175609126e-05,-1.0614954222499,0.054,0.23,0.791464472654385
Gimap6,4.10567754230925e-05,-0.734213433467901,0.162,0.411,0.79830794132661
Tspan5,4.15690500066604e-05,-0.926320775176448,0.223,0.474,0.808268608329505
Ramp2,4.18521075699603e-05,-0.698419214695299,0.469,0.707,0.813772379590309
Tubb5,4.47770566116004e-05,-0.593840933311027,0.362,0.678,0.870645088755958
Timm17a,4.53328012316366e-05,-0.847473277236657,0.146,0.372,0.881450987147942
Map3k7cl,4.55960167915303e-05,2.41474997791051,0.115,0.023,0.886568950494514
Palmd,4.56264197804592e-05,-0.654691198841942,0.162,0.401,0.887160106211248
Pmaip1,4.63455188073061e-05,1.72046082327662,0.454,0.309,0.901142267689259
Pdia6,4.67008931879932e-05,-1.02518392820009,0.092,0.293,0.90805216714734
Zc3h7a,4.80326993621021e-05,-1.51371652227639,0.046,0.211,0.933947806396712
Rdh14,4.85479801847356e-05,-2.22850544931822,0.015,0.151,0.943966926711999
Adipor1,4.86672815372696e-05,-0.571976151382342,0.262,0.562,0.94628662221067
Rpl7l1,4.86913399744218e-05,-1.56576477316558,0.046,0.207,0.946754414462658
Ndufa8,4.89251310774638e-05,-0.588070585396116,0.3,0.599,0.951300248670206
Ndufb6,4.90307864989172e-05,-0.695162563135521,0.138,0.362,0.953354612684946
Slco2b1,5.05108843820831e-05,-1.57843663706678,0.069,0.243,0.982133635925224
Tagln2,5.08802556200348e-05,-0.644390089519411,0.231,0.51,0.989315690275958
Stmn1,5.08882496914942e-05,-0.448158680556078,0.277,0.559,0.989471127001414
Psmc3ip,5.10580998270468e-05,3.55478756805774,0.085,0.01,0.992773693037099
Sox7,5.21707000963153e-05,-1.17690450483365,0.046,0.204,1
Sec13,5.38399253710198e-05,-1.59346611189349,0.038,0.194,1
Aldoa,5.49840699172593e-05,-0.606101416062943,0.392,0.655,1
Ptma,5.51950556555659e-05,-0.310644033686534,0.962,0.997,1
Mpzl1,5.57939474165955e-05,-0.745079832102768,0.362,0.638,1
Arl3,5.61427701873105e-05,-1.31470684490347,0.054,0.224,1
Fam204a,5.63669210316026e-05,-1.13060855540809,0.085,0.273,1
Uqcrc2,5.65375089214539e-05,-1.04543006020638,0.108,0.309,1
Atp6v1b2,5.68100858192198e-05,-2.010179905881,0.031,0.178,1
Gm13305,5.70785296884209e-05,-12.2549527868271,0,0.115,1
Ccdc28b,5.75320166650843e-05,-1.12533581056866,0.077,0.263,1
St3gal6,5.76726733500536e-05,-0.590851571297447,0.408,0.671,1
Lamtor3,5.77144944348318e-05,-1.46208209116557,0.054,0.22,1
Xaf1,5.81108782450777e-05,-1.13174569211938,0.077,0.263,1
Oser1,6.03954314206575e-05,-1.02059265242348,0.077,0.26,1
Smagp,6.04360214153848e-05,-0.945396943857133,0.108,0.312,1
Rplp2,6.05652666272125e-05,0.487993650231806,0.915,0.895,1
Fam50a,6.15487728212069e-05,-3.6247552745899,0.008,0.132,1
Msrb1,6.16813822565559e-05,-1.10783107834381,0.046,0.211,1
Nostrin,6.17236878567065e-05,-0.923341034923205,0.169,0.401,1
